en_name,ch_name,url,ranking,area,tofel,ielts,gmat,gre,tofel_sub,ielts_sub,gmat_sub,gre_sub,curriculum,area_1,area_ranking,entrance_time,project_length,tuition,region
Master of Arts in Applied Linguistics,南洋理工大学应用语言学文学硕士,/majr_49442,QS排名：19,社科 语言,92,6.5,,,/,/,,,"应用语言学研究方法 , 话语研究, 语言习得研究, 语言课程开发, 课堂教学的社会语言学视角, 课堂话语分析, 贯穿课程的语言, 语言教师教育, 文学和语言教育, 教材设计与编写, 第二语言课堂学习, 批判研究, 系统功能语言学, 语用学专题研究, 语言教学法",语言,2,1/8月,1年,40382新币/年,Singapore
Master of Arts in Translation and Interpretation,南洋理工大学翻译与口译文学硕士,/majr_49727,QS排名：19,社科 语言,90,6.5,,,/,L:6 | R:6 | W:6 | S:6 ,,,"翻译理论, 专业翻译I （文学）, 口译导论, 毕业论文, 专业翻译II (法律、金融、经济), 专业翻译III (国际组织与政府机构翻译), 中英口译, 英中口译, 翻译科技, 专业翻译IV (科学、技术、医学)",语言,2,1/8月,1.5年,22243新币/年,Singapore
Master of Media and Communication,南洋理工大学媒体与传播理学硕士,/majr_1679,QS排名：19,社科 传播,100,7,,,/,L:6.5 | R:6.5 | W:6.5 | S:6.5 ,,,"传媒、技术与社会, 传媒研究和数据分析, 传播、道德和治理, 媒体领导与管理, 大众传播议题及策略 , 先进活动设计和管理, 舆情疏导, 互动广告问题, 战略公共关系管理, 企业沟通管理研讨会, 新兴通信和信息技术, 危机沟通与问题处理, 数字广告创意",传播,2,8月,1年,29700新币/年,Singapore
Master of Science in Analytics,南洋理工大学分析学理学硕士,/majr_49696,QS排名：19,理科 数学,92,6.5,650,315,/,/,/,/,"运筹学1, 运筹学2, 分析软件1, 分析软件2, 分析学工作坊1, 分析学工作坊2, 概率论与数理统计, 时间序列分析, 数据挖掘, 数据库系统, 实习, 信息检索与分析, 随机模型, 生存数据分析, 不确定性和依赖性",数学,2,7月,1年,56700新币/年,Singapore
Master of Arts in Museum Studies and Curatorial Practices,南洋理工大学博物馆研究与策展实践文学硕士,/majr_59142,QS排名：19,社科 文化,,7,,,,/,,,"研究方法, 策展实践导论, 东南亚艺术史, 博物馆研究导论, 策展管理, 文物研究, 博物馆志, 策展空间, 展览历史与策展叙述, 公共空间艺术与关键空间实践, 亚太地区艺术双年展制 , 展览设计与规划, 当代艺术关键问题, 社会实践与社区艺术, 创造性与批判性写作",文化,2,8月,1年,29271新币/年,Singapore
Master of Science in Life Sciences,南洋理工大学生命科学理学硕士,/majr_62861,QS排名：19,理科 化学,92,6.5,,,/,/,,,"科学传播, 生物系统化学, 分离和分析化学, 材料化学, 全球能源系统, 光伏物理和太阳能电池, 核物理和裂变能, 全球环境变化和脆弱生态系统, 生态学进程",化学,2,1/8月,1年,44266新币/年,Singapore
Master of Science in Biomedical Data Science,南洋理工大学生物医学数据科学理学硕士,/majr_62964,QS排名：19,理科 生物,100,6.5,,,/,/,,,"生物医学的基本机器学习, 生物医学科学基本程序设计, 生物医学数据挖掘技术, 图形和可视化, 生物医学的深度学习, 基础生物统计学和生物数学, 生物医学数据科学的高级计算思维, 用于生物医学数据科学的高级人工智能, 生物大数据, 生物序列分析, 生物分子结构。建模和设计, 实习",生物,2,8月,1年,60000新币/年,Singapore
Master of Science in Precision Scientific Instrumentation​,南洋理工大学精密科学仪器理学硕士,/majr_64432,QS排名：19,理科 物理,92,6.5,,,/,/,,,"研究生交流与研究方法, 研究生固体物理学, 凝聚态物理学实验技术, 精密仪器实验室, 光学光谱技术, 非线性光学, 信息技术自旋电子学, 物理学家高级数值方法, 表面与界面物理学, 低维结构物理学, 固态电子设备, 指导研究, 研究生专业实习",物理,2,7月,1年,43200新币/年,Singapore
Master of Science in Chemical Sciences and Instrumentation​,南洋理工大学化学科学与仪器理学硕士,/majr_64433,QS排名：19,理科 化学,92,6.5,,,/,/,,,"研究生研讨会, 高级化学仪器, 理学硕士研究 I, 技术商业化, 研究生基础与技术无机化学, 过渡金属催化有机合成反应, 研究生化学生物学, 材料化学的高级分析与光谱方法, 材料化学的高级合成与物理方法, 人工智能在化学科学中的应用, 高级纳米科学与技术, 结构测定高级技术, 工业分析化学, 研究生生命科学有机化学, 制药行业高级分析与制造技术",化学,2,7月,1年,43200新币/年,Singapore
Master of Science in Data Science,南洋理工大学数据科学理学硕士,/majr_72168,QS排名：19,理科 数据科学,100,6.5,,,/,/,,,"数据科学思维, 面向数据科学的机器学习, 数据系统, 数据准备, 数据可视化, 毕业项目, Python编程, 数据科学数学, 数据科学概率与统计, 文本数据管理, 时间序列与预测, 面向数据科学的深度学习, 可扩展数据系统, 网络科学, 经济学导论",数据科学,2,1/8月,1.5年,39096新币/年,Singapore
Master in Engineering (MEng) with Financial Engineering Concentration and Cornell Financial Engineering Manhattan,康奈尔大学工程硕士金工方向,/majr_65681,QS排名：20,商科 金工金数,100,7,/,/,"W20,L15,R20,S22",/,/,/,,金工金数,2,秋季,3个学期,87879美元,US
Master of Engineering in Computer Science （Cornell Tech）,康奈尔大学计算机科学硕士,/majr_65781,QS排名：20,工科 计算机,100,7,/,/,"S22,R20,L15,W20",/,/,/,,计算机,2,秋季,1年,58586美元,US
Master of Engineering in Computer Science,康奈尔大学计算机科学硕士,/majr_65782,QS排名：20,工科 计算机,/,7,/,/,"S22,R20,L15,W20",/,/,/,,计算机,2,春季/秋季,2学期,58586美元,US
Master of Professional Studies (MPS) in Applied Economics and Management,康奈尔大学应用经济与管理硕士,/majr_65705,QS排名：20,商科 经济,100,7,/,/,"S22,R20,L15,W20",/,/,/,,经济,2,秋季,1年,58586美元/学年                 ,US
MPS in Management – Accounting Specialization,康奈尔大学管理学硕士-会计方向,/majr_65626,QS排名：20,商科 会计,100,7,/,/,"S22,R20,L15,W20",/,/,/,,会计,2,春季/秋季,1年,58586美元,US
MEng in Electrical and Computer Engineering,康奈尔大学电气与计算机工程硕士,/majr_65816,QS排名：20,工科 电气电子,100,7,/,/,"S22,R20,L15,W20",/,/,/,,电气电子,2,秋季,1年,56550美元/年,US
MEng in Electrical and Computer Engineering(TECH),康奈尔大学电气与计算机工程硕士,/majr_65817,QS排名：20,工科 电气电子,100,7,/,/,"S22,R20,L15,W20",/,/,/,,电气电子,2,秋季,1年,58586美元/年,US
MS in Mechanical Engineering,康奈尔大学机械工程理学硕士,/majr_71819,QS排名：20,工科 机械工程,/,7,/,/,"L15,R20,S22,W20",/,/,/,,机械工程,2,秋季,4学期,29500美元,US
MEng in Mechanical Engineering,康奈尔大学机械工程工学硕士,/majr_71820,QS排名：20,工科 机械工程,/,7,/,/,"L15,R20,S22,W20",/,/,/,,机械工程,2,春季/秋季,1年,62456美元/年,US
M.Eng in Materials Science and Engineering,康奈尔大学材料科学与工程工学硕士,/majr_71881,QS排名：20,工科 材料,100,7,/,/,W20;L;15;R20;S22,/,/,/,,材料,2,秋季,1年,58586美元/年,US
MS in Materials Science and Engineering,康奈尔大学材料科学与工程理学硕士,/majr_71882,QS排名：20,工科 材料,100,7,/,/,W20;L;15;R20;S22,/,/,/,,材料,2,秋季,2年,29500美元/年,US
Master of Laws,康奈尔大学法学硕士,/majr_65639,QS排名：20,社科 法律,100,7,/,/,/,/,/,/,,法律,2,秋季,2学期,70188美元,US
MS Chemical Engineering,康奈尔大学化学工程理学硕士,/majr_71779,QS排名：20,工科 化工,/,7,/,/,"L15,R20,S22,W20",/,/,/,,化工,2,秋季,2年,29500美元/年,US
MEng Chemical Engineering,康奈尔大学化学工程工学硕士,/majr_71780,QS排名：20,工科 化工,/,7,/,/,"L15,R20,S22,W20",/,/,/,,化工,2,秋季,1年,60286美元/年,US
MEng in Biomedical Engineering,康奈尔大学生物医学工程工学硕士,/majr_72031,QS排名：20,工科 生物工程,/,7,/,/,"S22,R20,L15,W20",/,/,/,,生物工程,2,春季/秋季,2学期,60286美元/年,US
Master of Professional Studies (MPS) in Information Science,康奈尔大学信息科学硕士,/majr_65554,QS排名：20,商科 信息系统,/,7,/,/,"S24,R20,L15,W20",/,/,/,,信息系统,2,春季/秋季,1年,58586美元/年,US
MEng Civil and Environmental Engineering,康奈尔大学土木与环境工程工学硕士,/majr_71971,QS排名：20,工科 土木工程,77,7,/,/,"S22,R20,L15,W20",/,/,/,,土木工程,2,秋季/春季,30学分,60286 美元,US
MS Civil and Environmental Engineering,康奈尔大学土木与环境工程理学硕士,/majr_71972,QS排名：20,工科 土木工程,77,7,/,/,"S22,R20,L15,W20",/,/,/,,土木工程,2,秋季/春季,2年,29500美元,US
MPS in Management,康奈尔大学管理学硕士,/majr_65600,QS排名：20,商科 管理,100,7,/,/,"S22,R20,L15,W20",/,/,/,,管理,2,春季/秋季,1年,58586美元,US
M.Eng. in Engineering Management,康奈尔大学工程管理工学硕士,/majr_72011,QS排名：20,工科 工程管理,77,7,/,/,"S22,R20,L15,W20",/,/,/,,工程管理,2,秋季/春季,32学分,60286美元/年,US
MS in Biological and Environmental Engineering,康奈尔大学生物环境工程理学硕士,/majr_71932,QS排名：20,工科 环境工程,/,7,/,/,"S22,R20,L15,W20",/,/,/,,环境工程,2,秋季/春季,2学期,20800美元,US
MEng in Biological and Environmental Engineering,康奈尔大学生物环境工程工学硕士,/majr_71933,QS排名：20,工科 环境工程,/,7,/,/,"S22,R20,L15,W21",/,/,/,,环境工程,2,秋季/春季,1年,60286美元/年,US
Master of Public Administration,康奈尔大学公共管理硕士,/majr_65662,QS排名：20,社科 公共政策与事务,100,7.5,/,/,"W20,L15,R20,S22",7,/,/,,公共政策与事务,2,秋季,2年,62966,Unknown
MEng in ORIE-Data Analytics,康奈尔大学运筹学与信息工程专业数据分析方向,/majr_65755,QS排名：20,理科 数据科学,100,7,/,/,"W20,L15,R20,S22",/,/,/,,数据科学,2,秋季,12门课,44500美元/年,US
MPS program in Applied Statistics,康奈尔大学应用统计学硕士,/majr_67215,QS排名：20,理科 数学,/,7,/,/,"L15,W20,R20,S22",/,/,/,,数学,2,秋季/春季,2学期,60286美元/年,US
MPH - Public Health,康奈尔大学公共卫生硕士,/majr_71718,QS排名：20,理科 数学,/,7,/,/,"S22,R20,L15,W20",/,/,/,,数学,2,秋季,2年,39466美元/学年,US
MEng in Operations Research and Information Engineering,康奈尔大学运筹学与信息工程工学硕士,/majr_72115,QS排名：20,理科 数学,100,7,/,/,"W20,L15,R20,S22",/,/,/,,数学,2,春季/秋季,2-3个学期,60286美元/年,US
MEng in Operations Research and Information Engineering (Tech),康奈尔大学运筹学与信息工程工学硕士（Tech）,/majr_72116,QS排名：20,理科 数学,100,7,/,/,"S22,R20,L15,W20",/,/,/,,数学,2,秋季,1年,60286美元,US
Master of Finance in Financial Technology,香港大学金融科技金融学硕士,/majr_63776,QS排名：21,商科 金工金数,80,6,,,/,L:5.5 | R:5.5 | W:5.5 | S:5.5 ,,,"公司融资与资产评估, 投资分析与投资组合管理, 区块链与加密数字货币, 金融市场监管, 衍生证券, 金融数学技术, 高级财务编程与数据库, 金融机器学习与人工智能, 量化交易, 金融大数据",金工金数,2,9月,1年,462000港币/年,HongKong
Master of Finance,香港大学金融学硕士,/majr_1553,QS排名：21,商科 金融,80,6,,,/,L:5.5 | R:5.5 | W:5.5 | S:5.5 ,,,"财务分析经济学, 财务报表分析与商业道德标准, 公司财务与资产评估, 投资分析与投资组合管理, 衍生证券, 金融数学技术, 金融电子表格建模, 固定收益证券与利率模型建立, 风险管理, 信贷风险, 金融工程, 高级期权定价模型, 高级公司财务, 风险投资、私募股权与创业融资, 高级利率模型",金融,1,9月,1年,462000港币/年,HongKong
Master of Science in Computer Science (General Stream),香港大学计算机科学理学硕士（常规方向）,/majr_1558,QS排名：21,工科 计算机,80,6,,,/,L:5.5 | R:5.5 | W:5.5 | S:5.5 ,,,"计算机与网络安全, 电子商务安全案例与技术手段, 数字化财产的法律保护, 无线网络安全, 数字化调查与取证, 信息安全：攻击与防卫, 定量金融软件开发, 图像处理与计算机视觉, 多媒体技术, 模式识别与应用, 用户界面设计与开发, 可视化与可视化分析论, 高级多媒体数据分析与应用, 计算金融概论, 计算金融学技术",计算机,3,9月,1年,216000港币/年,HongKong
Master of Science in Artificial Intelligence,香港大学人工智能理学硕士,/majr_67707,QS排名：21,工科 计算机,80,6,,,/,L:5.5 | R:5.5 | W:5.5 | S:5.5 ,,,"人工智能基础, 人工智能优化, 人工智能中的数值方法, 人工智能统计学, 应用数据挖掘与文本分析, 计算智能与机器学习, 深度学习, 高级数值分析专题, 人工智能与机器学习专题, 计算统计学, 数据科学编程, 无人系统概论, 量子计算与人工智能, 人工智能项目",计算机,3,9月,1.5年,200000港币/年,HongKong
Master of Science in Computer Science (Cyber Security Stream),香港大学计算机科学理学硕士（网络安全方向）,/majr_72173,QS排名：21,工科 计算机,80,6,,,/,L:5.5 | R:5.5 | W:5.5 | S:5.5 ,,,"信息安全专题, 数字化财产的法律保护, 数字调查和取证, 信息安全：攻击和防御, 逆向工程与恶意软件分析, 网络安全导论, 金融诈骗分析, 高级数据库系统, 高级数据科学课题, 大数据管理, 复杂数据类型管理, 统一建模语言在企业应用的分析和设计, 集群与云计算, 无人机系统导论, 量子计算与人工智能, 计算智能与机器学习, 生物信息学导论, 自然语言处理",计算机,3,9月,1年,216000港币/年,HongKong
Master of Science in Computer Science (Financial Computing Stream),香港大学计算机科学理学硕士（金融计算方向）,/majr_72174,QS排名：21,工科 计算机,80,6,,,/,L:5.5 | R:5.5 | W:5.5 | S:5.5 ,,,"数据挖掘, 分布式总账技术和区块链技术, 贸易和金融方面的机器学习, 金融计算导论, 金融计算专题, 网络安全导论, 计算金融技术, 量化金融软件开发, 银行业证券交易, 金融诈骗分析",计算机,3,9月,1年,216000港币/年,HongKong
Master of Science in Computer Science (Multimedia Computing Stream),香港大学计算机科学理学硕士（多媒体计算方向）,/majr_72175,QS排名：21,工科 计算机,80,6,,,/,L:5.5 | R:5.5 | W:5.5 | S:5.5 ,,,"图像处理与计算机视觉, 多媒体技术, 模式识别与应用, 用户界面设计和开发, 智能手机应用开发, 可视化与可视分析, 数据驱动的电脑动画, 游戏设计与开发, 多媒体计算专题",计算机,3,9月,1年,216000港币/年,HongKong
Master of Science in Business Analytics,香港大学商业分析理学硕士,/majr_53624,QS排名：21,商科 商业分析,80,6,,,/,L:5.5 | R:5.5 | W:5.5 | S:5.5 ,,,"商业智能与分析, 商业统计, 管理与挖掘大数据, 定量分析法, 商业分析课程, 大数据分析技术, 金融分析, 预测分析, 营销工程, 运营分析, 服务运营管理, 社会和数字媒体分析, 供应链和物流管理",商业分析,1,9月,1年,390000港币/年,HongKong
Master of Economics,香港大学经济学硕士,/majr_1552,QS排名：21,商科 经济,80,6,,,/,L:5.5 | R:5.5 | W:5.5 | S:5.5 ,,,"微观经济学分析, 宏观经济学分析, 应用计量经济学, 计量经济学理论（一）, 经济预测, 微观经济理论, 宏观经济理论, 竞争、监管和经营战略, 公司财务, 发展经济学, 组织经济学和战略经济学, 计量经济学理论（二）, 金融经济学, 博弈论及其应用, 产业组织",经济,1,9月,1年,360000港币/年,HongKong
Master of Science in Engineering (Electrical and Electronic Engineering) - General Stream,香港大学工程学（电气与电子工程）理学硕士 - 常规方向,/majr_1566,QS排名：21,工科 电气电子,80,6,,,/,L:5.5 | R:5.5 | W:5.5 | S:5.5 ,,,"模式识别与机器学习, 集成电路系统设计, 高性能计算机体系结构, 数字图象处理, 数字系统设计技术, 光电子与光波技术, 核磁共振成像（MRI）技术与应用, 生物医学超声波, 生物医学信号与系统, 绿色项目管理, 数据存储与新兴应用的磁学工程, 从人工智能软件到硬件：机器学习与电子设计自动化概论, 工业营销, 中国企业创业, 工业创业的成功",电气电子,2,9月,1年,216000港币/年,HongKong
Master of Accounting,香港大学会计学硕士,/majr_59160,QS排名：21,商科 会计,80,6,,,/,L:5.5 | R:5.5 | W:5.5 | S:5.5 ,,,"财务会计基础 , 管理会计 , 高级财务会计 , 税务框架和规矩 , 商业法律与道德环境 , 会计数据分析 , 审计和对公服务 , 企业价值评估 , 企业管治与社会责任 , 财务会计理论 , 国际税务和企业专业 , 领导力与战略管理控制 , 独立研究 , 企业财务 ",会计,1,9月,1年,360000港币/年,HongKong
Master of Science in Engineering (Building Services Engineering),香港大学工程学（建筑设备工程）理学硕士,/majr_64405,QS排名：21,工科 电气电子,80,6,,,/,L:5.5 | R:5.5 | W:5.5 | S:5.5 ,,,"电气安装, 照明工程, 建筑物的能源表现, 建筑物特低压电气系统, 空调与制冷, 公用服务设施, 检测与调试, 项目管理, 清洁电能与建筑智能电网, 消防设施, 高级暖通空调应用, 论文",电气电子,2,9月,1年,216000港币/年,HongKong
Master of Science in Engineering (Innovative Design and Technology),香港大学工程学（创新设计与科技）理学硕士,/majr_67612,QS排名：21,工科 电气电子,80,6,,,/,L:5.5 | R:5.5 | W:5.5 | S:5.5 ,,,"创新设计与研发原理, 机电一体化系统设计, 无人机设计、导航与控制, 产品开发先进技术与材料, 计算机编程产品开发与应用, 材料使用性能, 用于能源、生物医学与消费电子应用的微系统, 力学有限元分析, 功能设计、美学设计、 制造业与知识产权法, 智能手机应用开发, 计算机辅助产品开发, 人类工程学, 多媒体技术, 当代机器人, 计算优化与智能分析",电气电子,2,9月,1年,216000港币/年,HongKong
Master of Science in Engineering (Electrical and Electronic Engineering) - Communications Engineering Stream,香港大学工程学（电气与电子工程）理学硕士 - 通信工程方向,/majr_72400,QS排名：21,工科 电气电子,80,6,,,/,L:5.5 | R:5.5 | W:5.5 | S:5.5 ,,,"通信政策与规定, 数字信号处理, 数据压缩, 电信系统与管理, IP网络, 电子与移动商务, 无线通信与网络, 数字通信, 卫星通信, 通信理论与系统高级专题, 多媒体信号与系统高级专题",电气电子,2,9月,1年,216000港币/年,HongKong
Master of Science in Engineering (Electrical and Electronic Engineering) - Power Engineering Stream,香港大学工程学（电气与电子工程）理学硕士 - 电力工程方向,/majr_72401,QS排名：21,工科 电气电子,80,6,,,/,L:5.5 | R:5.5 | W:5.5 | S:5.5 ,,,"电力系统分布, 大城市电力输送管理, 计算机监控系统在电力系统运行中的作用, 智能电网, 高级电动汽车技术, 高级电力电子学, 高级铁路工程, 高级电力系统运行, 电力系统工程高级专题, 电气装置, 建筑物超低压电气系统",电气电子,2,9月,1年,216000港币/年,HongKong
Master of Education (Generalist Strand),香港大学教育学硕士（常规方向）,/majr_1554,QS排名：21,社科 教育,93,6.5,,,/,L:6 | R:6 | W:6 | S:6 ,,,"教育问题与研究, 研究项目或专业作品集, 统计方法概论, 定性研究方法：研究设计、数据收集与分析, 教育中的叙述分析, 教育评价研究方法, 心理测量学原理与方法概论 , 课程比较视角, 文学与英语语言艺术",教育,1,9月,1年,198000港币/年,HongKong
"Master of Science in Technology, Design and Leadership for Learning (Leadership with Technology in Education)",香港大学学习技术、设计和领导力理学硕士（教育技术领导力）,/majr_1556,QS排名：21,社科 教育,80,6,,,/,L:5.5 | R:5.5 | W:5.5 | S:5.5 ,,,"运用信息技术手段支持教与学, 研究与调查方法, 信息技术与教育领导, 数字文化与教育实践, 信息技术运用带来的教育创新实践, 组织学习, 全球背景下的中国教育科技, 吸引成人学习者, 项目管理, 信息系统分析与开发, 教育中的信息技术和知识产权法",教育,1,9月,1年,198000港币/年,HongKong
Master of Science in Engineering (Mechanical Engineering),香港大学工程学（机械工程）理学硕士,/majr_1569,QS排名：21,工科 机械工程,80,6,,,/,L:5.5 | R:5.5 | W:5.5 | S:5.5 ,,,"科研项目, 噪声与振动, 计算流体动力学, 计算机辅助产品开发, 力学有限元分析, 大气环境建模, 纳米技术：基础与应用, 发电厂技术, 工程应用数学, 生物材料与组织工程学, 能源节约与管理, 能源审核和碳排放审计, 可再生能源技术：基础概论, 微系统在能源、生物医学和消费性电子产品领域的应用, 空气污染的来源和控制",机械工程,2,9月,1年,216000港币/年,HongKong
Master of Arts in Teaching English to Speakers of Other Languages,香港大学对外英语教学文学硕士,/majr_5083,QS排名：21,社科 教育,94,7,,,W:25 ,L:6.5 | R:6.5 | W:6.5 | S:6.5 ,,,"英语教学法, 语法教学, 第二语言习得, 社会语言学与英语教育, 英语教学中的语音学与音系学, 对外英语教学研究与调查方法, 课题研究, 自主性语言学习, 口语与书面语分析, 英语作为第二语言精选阅读, 第二语言写作教学, 学术英语, 技术与英语教学, 对外英语教学测试和评估, 文学在语言教学和学习",教育,1,9月,1年,186000港币/年,HongKong
Master of Education (Chinese Language Education),香港大学教育学硕士（中国语文教育）,/majr_72176,QS排名：21,社科 教育,93,6.5,,,/,L:6 | R:6 | W:6 | S:6 ,,,"教育问题与研究, 中国语文教育：评估, 中文阅读理解教学理论与实践, 心理语言学及中国语文学习过程, 中国语文课程与校本课程的应用, 统计方法概论, 定性研究方法：研究设计、数据收集与分析, 教育中的叙述分析, 研究项目或专业作品集",教育,1,9月,1年,198000港币/年,HongKong
Master of Education (Comparative and Global Studies in Education and Development),香港大学教育学硕士（教育与发展中的比较与全球教育）,/majr_72177,QS排名：21,社科 教育,93,6.5,,,/,L:6 | R:6 | W:6 | S:6 ,,,"教育问题与研究, 解决教育领域的全球与地方联系问题, 教育改革中的关键问题, 可持续发展教育, 比较教育研究领域的主题与方法, 统计方法概论, 定性研究方法：研究设计、数据收集与分析, 教育中的叙述分析, 研究项目或专业作品集",教育,1,9月,1年,198000港币/年,HongKong
Master of Education (Content and Language Integrated Learning),香港大学教育学硕士（内容与语言整合学习）,/majr_72178,QS排名：21,社科 教育,93,6.5,,,/,L:6 | R:6 | W:6 | S:6 ,,,"教育问题与研究, 文本分析 I：科学与数学的学术素养, 文本分析 II：社会科学与人文科学的学术素养, 原理与实践：内容与语言整合学习中的衔接教学法, 原理与实践：内容与语言整合学习中的课程设计, 统计方法概论, 定性研究方法：研究设计、数据收集与分析, 教育中的叙述分析, 研究项目或专业作品集",教育,1,9月,1年,198000港币/年,HongKong
Master of Education (Early Childhood Education),香港大学教育学硕士（幼儿教育）,/majr_72180,QS排名：21,社科 教育,93,6.5,,,/,L:6 | R:6 | W:6 | S:6 ,,,"教育问题与研究, 幼儿教育的当代问题, 幼儿教育的学习与教学, 幼儿教育的规划、管理、评估与领导力, 在幼儿教育中促进儿童发展, 统计方法概论, 定性研究方法：研究设计、数据收集与分析, 教育中的叙述分析, 研究项目或专业作品集",教育,1,9月,1年,198000港币/年,HongKong
Master of Education (Educational Administration and Management),香港大学教育学硕士（教育行政与管理）,/majr_72181,QS排名：21,社科 教育,93,6.5,,,/,L:6 | R:6 | W:6 | S:6 ,,,"教育问题与研究, 教育机构行政与组织理论, 校本管理中的概念和问题, 教育领导力与学校管理, 教育行政的法律问题, 统计方法概论, 定性研究方法：研究设计、数据收集与分析, 教育中的叙述分析, 研究项目或专业作品集",教育,1,9月,1年,198000港币/年,HongKong
Master of Education (English Language Education),香港大学教育学硕士（英语语言教育）,/majr_72182,QS排名：21,社科 教育,,7,,,,L:6.5 | R:6.5 | W:6.5 | S:6.5 ,,,"教育问题与研究, 社会语言学导论, 英语课程与评估, 语言意识：语法与词汇, 第二语言习得, 统计方法概论, 定性研究方法：研究设计、数据收集与分析, 教育中的叙述分析, 研究项目或专业作品集",教育,1,9月,1年,198000港币/年,HongKong
Master of Education (Higher Education),香港大学教育学硕士（高等教育）,/majr_72185,QS排名：21,社科 教育,93,6.5,,,/,L:6 | R:6 | W:6 | S:6 ,,,"教育问题与研究, 比较高等教育政策研究, 全球化与高等教育, 高等教育领导力, 高等教育的组织理论与策略, 统计方法概论, 定性研究方法：研究设计、数据收集与分析, 教育中的叙述分析, 研究项目或专业作品集",教育,1,9月,1年,198000港币/年,HongKong
Master of Education (STEM Education),香港大学教育学硕士（STEM教育）,/majr_72225,QS排名：21,社科 教育,93,6.5,,,/,L:6 | R:6 | W:6 | S:6 ,,,"教育问题与研究, 设计思维与教育, STEM教育中的新兴技术, STEM教育中的学习、教学与评估, 贯穿课程与社会的STEM教育, 计算思维与教育, 统计方法概论, 定性研究方法：研究设计、数据收集与分析, 研究项目或专业作品集",教育,1,9月,1年,198000港币/年,HongKong
Master of Education (Teaching Chinese as a Second Language),香港大学教育学硕士（对外汉语教学）,/majr_72226,QS排名：21,社科 教育,93,6.5,,,/,L:6 | R:6 | W:6 | S:6 ,,,"教育问题与研究, 中文第二语言教学评估与报告, 中文第二语言校本课程设计, 中文第二语言教学研究与实践, 对外汉语教学, 融合国际文凭课程理念的中文教学, 统计方法概论, 定性研究方法：研究设计、数据收集与分析, 研究项目或专业作品集",教育,1,9月,1年,216000港币/年,HongKong
Master of Education (Teaching Chinese Language and Literature in International Education),香港大学教育学硕士（国际教育中国语言及文学教学）,/majr_72227,QS排名：21,社科 教育,93,6.5,,,/,L:6 | R:6 | W:6 | S:6 ,,,"教育问题与研究, 文学与表演艺术, 国际中文教育：语言和文学教学, 教学法与教学实践, 国际中文教育中的世界文学与新兴文本, 融合国际文凭课程理念的中国语言及文学教学, 中文（二语）课程设计与评估, 中文（二语）教学法, 专业作品集",教育,1,9月,1年,216000港币/年,HongKong
"Master of Science in Technology, Design and Leadership for Learning (E-Learning)",香港大学学习技术、设计和领导力理学硕士（电子化学习）,/majr_72232,QS排名：21,社科 教育,80,6,,,/,L:5.5 | R:5.5 | W:5.5 | S:5.5 ,,,"运用信息技术手段支持教与学, 研究与调查方法, 电子化学习策略与管理, 学习设计与技术, 新兴知识与技术, 基于游戏的学习环境, 吸引成人学习者, 数据科学和学习分析, 信息系统分析与开发, 教育中的信息技术和知识产权法, 教育中的人工智能",教育,1,9月,1年,198000港币/年,HongKong
"Master of Science in Technology, Design and Leadership for Learning (Learning Technology Design)",香港大学学习技术、设计和领导力理学硕士（学习技术设计）,/majr_72233,QS排名：21,社科 教育,80,6,,,/,L:5.5 | R:5.5 | W:5.5 | S:5.5 ,,,"运用信息技术手段支持教与学, 研究与调查方法, 教育中的多媒体技术, 学习设计与技术, 数字学习资源, 教育中的移动和无处不在的技术, 教育视频和讲故事, 数据科学和学习分析, 信息系统分析与开发, 教育中的信息技术和知识产权法, 教育中的人工智能",教育,1,9月,1年,198000港币/年,HongKong
Master of Education (Guidance and Counselling),香港大学教育学硕士（辅导与咨询）,/majr_72350,QS排名：21,社科 教育,93,6.5,,,/,L:6 | R:6 | W:6 | S:6 ,,,"教育问题与研究, 学校职业咨询与人才培养, 全面指导与积极青年发展:全院方法, 辅导与团体辅导实习, 辅导与团体辅导的理论与实践, 咨询过程、伦理与技能, 专业作品集或研究项目, 统计方法概论, 定性方法:研究设计、数据收集和分析, 教育中的叙事分析, 教育评价研究方法, 心理测量原理与方法简介, 课程的比较视角, 英语文学和语言艺术, 书面话语",教育,1,9月,1年,198000港币/年,HongKong
Master of Education (Mathematics Education),香港大学教育学硕士（数学教育）,/majr_72351,QS排名：21,社科 教育,93,6.5,,,/,L:6 | R:6 | W:6 | S:6 ,,,"教育问题与研究, 数学教与学研究, 数学课程研究与开发, 数学教学设计的创新与发展, 数学教育的哲学、社会和文化层面, 专业作品集或研究项目, 统计方法概论, 定性方法:研究设计、数据收集和分析, 教育中的叙事分析, 教育评价研究方法, 心理测量原理与方法简介, 课程的比较视角, 英语文学和语言艺术, 书面话语, 管理学校里的破坏性行为",教育,1,9月,1年,198000港币/年,HongKong
Master of Architecture,香港大学建筑学硕士,/majr_1541,QS排名：21,社科 建筑,80,6,,,/,L:5.5 | R:5.5 | W:5.5 | S:5.5 ,,,"建筑学与城市设计（一）, 建筑学与城市设计（二）, 专业实践（一）, 设计与建造沟通, 建筑学及其理论话语, 可持续建筑设计与技术, 建筑学与城市设计（三）, 建筑学与城市设计（四）, 专业实践（二）, 研究讨论会, 建筑与记忆, 中国城市设计, 可持续设计方法, 计算机辅助建筑设计方法, 建筑实践中的建筑信息模型",建筑,1,9月,2年,171175港币/年,HongKong
